plot,area,subplot,treatment,numb.flow.spec,numb.spec,flow.cov,month,prop.flow.spec
11_1,11,11_1_3,late,2,11,4,Aug,18.1818
11_1,11,11_1_1,late,1,13,2,Sep,7.6923
11_1,11,11_1_2,late,1,12,4,Aug,8.3333
11_1,11,11_1_3,late,2,11,2,Jul,18.1818
11_1,11,11_1_2,late,0,12,0,Sep,0
11_1,11,11_1_3,late,0,11,0,May,0
11_1,11,11_1_2,late,2,12,2,Jul,16.6667
11_1,11,11_1_2,late,0,12,0,May,0
11_1,11,11_1_3,late,1,11,1,Jun,9.0909
11_1,11,11_1_2,late,1,12,4,Jun,8.3333
11_1,11,11_1_1,late,1,13,1,Jul,7.6923
11_1,11,11_1_1,late,0,13,0,May,0
11_1,11,11_1_1,late,1,13,16,Aug,7.6923
11_1,11,11_1_3,late,1,11,1,Sep,9.0909
11_1,11,11_1_1,late,1,13,1,Jun,7.6923
11_2,11,11_2_2,early,0,16,0,May,0
11_2,11,11_2_1,early,1,12,1,Aug,8.3333
11_2,11,11_2_2,early,0,16,0,Jul,0
11_2,11,11_2_1,early,0,12,0,May,0
11_2,11,11_2_1,early,1,12,1,Jun,8.3333
11_2,11,11_2_2,early,1,16,25,Jun,6.25
11_2,11,11_2_1,early,0,12,0,Jul,0
11_2,11,11_2_3,early,1,16,2,Aug,6.25
11_2,11,11_2_2,early,0,16,0,Sep,0
11_2,11,11_2_3,early,2,16,3,Sep,12.5
11_2,11,11_2_1,early,1,12,1,Sep,8.3333
11_2,11,11_2_2,early,0,16,0,Aug,0
11_2,11,11_2_3,early,1,16,4,Jun,6.25
11_2,11,11_2_3,early,0,16,0,Jul,0
11_2,11,11_2_3,early,0,16,0,May,0
11_3,11,11_3_3,late,3,15,13,Aug,20
11_3,11,11_3_2,late,2,17,3,Sep,11.7647
11_3,11,11_3_3,late,1,15,1,Sep,6.6667
11_3,11,11_3_2,late,2,17,125,Aug,11.7647
11_3,11,11_3_3,late,1,15,1,Jun,6.6667
11_3,11,11_3_3,late,3,15,41,Jul,20
11_3,11,11_3_1,late,1,15,4,Sep,6.6667
11_3,11,11_3_2,late,1,17,1,Jun,5.8824
11_3,11,11_3_2,late,0,17,0,May,0
11_3,11,11_3_3,late,0,15,0,May,0
11_3,11,11_3_2,late,3,17,32,Jul,17.6471
11_3,11,11_3_1,late,2,15,10,Aug,13.3333
11_3,11,11_3_1,late,2,15,18,Jul,13.3333
11_3,11,11_3_1,late,0,15,0,Jun,0
11_3,11,11_3_1,late,0,15,0,May,0
11_4,11,11_4_2,early,2,14,12,Sep,14.2857
11_4,11,11_4_3,early,2,9,2,Jun,22.2222
11_4,11,11_4_3,early,0,9,0,Sep,0
11_4,11,11_4_3,early,0,9,0,Aug,0
11_4,11,11_4_2,early,0,14,0,May,0
11_4,11,11_4_3,early,0,9,0,Jul,0
11_4,11,11_4_1,early,1,10,1,Sep,10
11_4,11,11_4_2,early,2,14,2,Aug,14.2857
11_4,11,11_4_1,early,0,10,0,Aug,0
11_4,11,11_4_3,early,0,9,0,May,0
11_4,11,11_4_2,early,0,14,0,Jul,0
11_4,11,11_4_2,early,2,14,5,Jun,14.2857
11_4,11,11_4_1,early,0,10,0,Jul,0
11_4,11,11_4_1,early,2,10,18,Jun,20
11_4,11,11_4_1,early,0,10,0,May,0
2_1,2,2_1_3,early,3,23,7,Sep,13.0435
2_1,2,2_1_3,early,0,23,0,Jul,0
2_1,2,2_1_2,early,3,23,4,Aug,13.0435
2_1,2,2_1_3,early,4,23,233,Jun,17.3913
2_1,2,2_1_2,early,2,23,225,Jun,8.6957
2_1,2,2_1_3,early,4,23,4,Aug,17.3913
2_1,2,2_1_3,early,3,23,14,May,13.0435
2_1,2,2_1_2,early,0,23,0,Sep,0
2_1,2,2_1_1,early,3,22,29,Sep,13.6364
2_1,2,2_1_1,early,3,22,226,Jun,13.6364
2_1,2,2_1_2,early,0,23,0,Jul,0
2_1,2,2_1_2,early,1,23,1,May,4.3478
2_1,2,2_1_1,early,2,22,5,Aug,9.0909
2_1,2,2_1_1,early,0,22,0,Jul,0
2_1,2,2_1_1,early,1,22,1,May,4.5455
2_2,2,2_2_3,late,1,23,1,Jun,4.3478
2_2,2,2_2_2,late,3,24,13,Sep,12.5
2_2,2,2_2_3,late,2,23,13,Aug,8.6957
2_2,2,2_2_1,late,3,23,14,Aug,13.0435
2_2,2,2_2_2,late,3,24,8,Aug,12.5
2_2,2,2_2_2,late,3,24,38,Jul,12.5
2_2,2,2_2_3,late,2,23,5,Sep,8.6957
2_2,2,2_2_2,late,3,24,51,May,12.5
2_2,2,2_2_2,late,4,24,125,Jun,16.6667
2_2,2,2_2_3,late,1,23,1,May,4.3478
2_2,2,2_2_3,late,2,23,5,Jul,8.6957
2_2,2,2_2_1,late,2,23,109,May,8.6957
2_2,2,2_2_1,late,5,23,78,Jun,21.7391
2_2,2,2_2_1,late,2,23,2,Sep,8.6957
2_2,2,2_2_1,late,5,23,12,Jul,21.7391
2_3,2,2_3_1,late,3,21,7,Sep,14.2857
2_3,2,2_3_2,late,2,20,26,Jun,10
2_3,2,2_3_3,late,0,15,0,May,0
2_3,2,2_3_1,late,5,21,14,Jul,23.8095
2_3,2,2_3_1,late,3,21,100,Jun,14.2857
2_3,2,2_3_2,late,2,20,10,Jul,10
2_3,2,2_3_1,late,1,21,36,May,4.7619
2_3,2,2_3_1,late,3,21,33,Aug,14.2857
2_3,2,2_3_3,late,1,15,1,Sep,6.6667
2_3,2,2_3_2,late,3,20,35,Aug,15
2_3,2,2_3_2,late,0,20,0,May,0
2_3,2,2_3_3,late,3,15,3,Jul,20
2_3,2,2_3_3,late,2,15,2,Aug,13.3333
2_3,2,2_3_2,late,3,20,4,Sep,15
2_3,2,2_3_3,late,1,15,25,Jun,6.6667
2_4,2,2_4_1,early,1,16,25,May,6.25
2_4,2,2_4_3,early,0,15,0,Jul,0
2_4,2,2_4_3,early,2,15,125,Jun,13.3333
2_4,2,2_4_2,early,0,16,0,Jul,0
2_4,2,2_4_2,early,2,16,26,Jun,12.5
2_4,2,2_4_3,early,1,15,4,Sep,6.6667
2_4,2,2_4_2,early,2,16,16,Sep,12.5
2_4,2,2_4_1,early,2,16,25,Sep,12.5
2_4,2,2_4_1,early,2,16,4,Aug,12.5
2_4,2,2_4_1,early,0,16,0,Jul,0
2_4,2,2_4_3,early,2,15,13,Aug,13.3333
2_4,2,2_4_3,early,0,15,0,May,0
2_4,2,2_4_2,early,0,16,0,May,0
2_4,2,2_4_1,early,2,16,101,Jun,12.5
2_4,2,2_4_2,early,1,16,4,Aug,6.25
5_1,5,5_1_2,early,1,18,1,Aug,5.5556
5_1,5,5_1_3,early,2,17,2,Aug,11.7647
5_1,5,5_1_1,early,3,24,49,Aug,12.5
5_1,5,5_1_2,early,2,18,10,Sep,11.1111
5_1,5,5_1_3,early,0,17,0,Jul,0
5_1,5,5_1_2,early,0,18,0,Jul,0
5_1,5,5_1_3,early,1,17,4,Sep,5.8824
5_1,5,5_1_1,early,4,24,9,Sep,16.6667
5_1,5,5_1_3,early,1,17,1,Jun,5.8824
5_1,5,5_1_1,early,0,24,0,Jul,0
5_1,5,5_1_2,early,2,18,100,Jun,11.1111
5_1,5,5_1_3,early,0,17,0,May,0
5_1,5,5_1_1,early,3,24,28,Jun,12.5
5_1,5,5_1_2,early,1,18,9,May,5.5556
5_1,5,5_1_1,early,2,24,5,May,8.3333
5_2,5,5_2_3,late,1,28,4,Jun,3.5714
5_2,5,5_2_2,late,3,24,10,Jun,12.5
5_2,5,5_2_2,late,1,24,1,Sep,4.1667
5_2,5,5_2_3,late,2,28,8,Aug,7.1429
5_2,5,5_2_1,late,2,20,2,Jun,10
5_2,5,5_2_1,late,1,20,1,Sep,5
5_2,5,5_2_3,late,2,28,3,Sep,7.1429
5_2,5,5_2_3,late,3,28,30,Jul,10.7143
5_2,5,5_2_1,late,2,20,5,May,10
5_2,5,5_2_3,late,0,28,0,May,0
5_2,5,5_2_2,late,5,24,38,Aug,20.8333
5_2,5,5_2_2,late,5,24,196,Jul,20.8333
5_2,5,5_2_2,late,0,24,0,May,0
5_2,5,5_2_1,late,3,20,6,Aug,15
5_2,5,5_2_1,late,2,20,109,Jul,10
5_3,5,5_3_2,late,1,26,2,Sep,3.8462
5_3,5,5_3_1,late,3,24,33,Aug,12.5
5_3,5,5_3_2,late,4,26,12,Aug,15.3846
5_3,5,5_3_3,late,3,25,50,Jul,12
5_3,5,5_3_1,late,1,24,2,Sep,4.1667
5_3,5,5_3_1,late,3,24,10,Jul,12.5
5_3,5,5_3_2,late,3,26,6,Jul,11.5385
5_3,5,5_3_3,late,3,25,125,Jun,12
5_3,5,5_3_3,late,3,25,4,Sep,12
5_3,5,5_3_2,late,4,26,26,Jun,15.3846
5_3,5,5_3_3,late,1,25,1,May,4
5_3,5,5_3_1,late,1,24,4,Jun,4.1667
5_3,5,5_3_3,late,1,25,9,Aug,4
5_3,5,5_3_1,late,0,24,0,May,0
5_3,5,5_3_2,late,2,26,2,May,7.6923
5_4,5,5_4_1,early,0,24,0,Jul,0
5_4,5,5_4_1,early,2,24,26,Jun,8.3333
5_4,5,5_4_1,early,1,24,1,May,4.1667
5_4,5,5_4_2,early,2,20,50,Jun,10
5_4,5,5_4_2,early,0,20,0,Jul,0
5_4,5,5_4_3,early,2,19,2,Aug,10.5263
5_4,5,5_4_2,early,2,20,5,May,10
5_4,5,5_4_3,early,0,19,0,May,0
5_4,5,5_4_3,early,0,19,0,Jul,0
5_4,5,5_4_1,early,4,24,4,Aug,16.6667
5_4,5,5_4_3,early,2,19,29,Jun,10.5263
5_4,5,5_4_3,early,1,19,3,Sep,5.2632
5_4,5,5_4_2,early,1,20,2,Sep,5
5_4,5,5_4_2,early,2,20,2,Aug,10
5_4,5,5_4_1,early,2,24,5,Sep,8.3333
7_1,7,7_1_1,late,2,20,8,Aug,10
7_1,7,7_1_3,late,4,21,50,Aug,19.0476
7_1,7,7_1_3,late,2,21,20,Sep,9.5238
7_1,7,7_1_2,late,3,20,45,Aug,15
7_1,7,7_1_2,late,3,20,11,Sep,15
7_1,7,7_1_1,late,1,20,1,Jul,5
7_1,7,7_1_2,late,3,20,58,Jul,15
7_1,7,7_1_1,late,0,20,0,Sep,0
7_1,7,7_1_3,late,2,21,26,Jun,9.5238
7_1,7,7_1_1,late,0,20,0,May,0
7_1,7,7_1_3,late,0,21,0,May,0
7_1,7,7_1_3,late,2,21,8,Jul,9.5238
7_1,7,7_1_2,late,0,20,0,May,0
7_1,7,7_1_2,late,1,20,1,Jun,5
7_1,7,7_1_1,late,0,20,0,Jun,0
7_2,7,7_2_1,early,3,21,68,Aug,14.2857
7_2,7,7_2_2,early,0,18,0,Jul,0
7_2,7,7_2_1,early,0,21,0,Jul,0
7_2,7,7_2_3,early,0,16,0,May,0
7_2,7,7_2_2,early,1,18,1,Aug,5.5556
7_2,7,7_2_3,early,0,16,0,Jul,0
7_2,7,7_2_3,early,4,16,14,Aug,25
7_2,7,7_2_2,early,2,18,8,Jun,11.1111
7_2,7,7_2_3,early,1,16,1,Jun,6.25
7_2,7,7_2_1,early,1,21,4,May,4.7619
7_2,7,7_2_2,early,1,18,1,May,5.5556
7_2,7,7_2_1,early,1,21,100,Jun,4.7619
7_2,7,7_2_2,early,0,18,0,Sep,0
7_2,7,7_2_3,early,1,16,12,Sep,6.25
7_2,7,7_2_1,early,0,21,0,Sep,0
7_3,7,7_3_3,early,0,17,0,May,0
7_3,7,7_3_1,early,0,15,0,May,0
7_3,7,7_3_2,early,1,15,4,May,6.6667
7_3,7,7_3_3,early,1,17,1,Aug,5.8824
7_3,7,7_3_2,early,0,15,0,Sep,0
7_3,7,7_3_3,early,0,17,0,Sep,0
7_3,7,7_3_1,early,1,15,1,Aug,6.6667
7_3,7,7_3_2,early,0,15,0,Aug,0
7_3,7,7_3_1,early,1,15,1,Jun,6.6667
7_3,7,7_3_1,early,0,15,0,Jul,0
7_3,7,7_3_2,early,0,15,0,Jun,0
7_3,7,7_3_1,early,0,15,0,Sep,0
7_3,7,7_3_3,early,0,17,0,Jul,0
7_3,7,7_3_2,early,0,15,0,Jul,0
7_3,7,7_3_3,early,1,17,4,Jun,5.8824
7_4,7,7_4_3,late,2,17,5,Aug,11.7647
7_4,7,7_4_2,late,3,19,7,Aug,15.7895
7_4,7,7_4_2,late,1,19,3,Sep,5.2632
7_4,7,7_4_1,late,1,20,1,Jul,5
7_4,7,7_4_1,late,2,20,2,Sep,10
7_4,7,7_4_3,late,1,17,1,Sep,5.8824
7_4,7,7_4_1,late,4,20,52,Aug,20
7_4,7,7_4_3,late,0,17,0,May,0
7_4,7,7_4_2,late,1,19,1,Jul,5.2632
7_4,7,7_4_3,late,4,17,7,Jul,23.5294
7_4,7,7_4_2,late,0,19,0,May,0
7_4,7,7_4_2,late,1,19,225,Jun,5.2632
7_4,7,7_4_1,late,0,20,0,May,0
7_4,7,7_4_1,late,1,20,1,Jun,5
7_4,7,7_4_3,late,1,17,25,Jun,5.8824
8_1,8,8_1_3,late,3,21,38,Aug,14.2857
8_1,8,8_1_2,late,5,23,94,Aug,21.7391
8_1,8,8_1_2,late,3,23,15,Sep,13.0435
8_1,8,8_1_1,late,7,22,676,Jul,31.8182
8_1,8,8_1_1,late,3,22,17,Sep,13.6364
8_1,8,8_1_3,late,1,21,16,Sep,4.7619
8_1,8,8_1_1,late,4,22,43,Aug,18.1818
8_1,8,8_1_3,late,1,21,4,May,4.7619
8_1,8,8_1_2,late,5,23,275,Jul,21.7391
8_1,8,8_1_3,late,6,21,211,Jul,28.5714
8_1,8,8_1_1,late,0,22,0,May,0
8_1,8,8_1_2,late,0,23,0,May,0
8_1,8,8_1_2,late,2,23,2,Jun,8.6957
8_1,8,8_1_3,late,3,21,5,Jun,14.2857
8_1,8,8_1_1,late,2,22,10,Jun,9.0909
8_2,8,8_2_2,early,4,22,9,Aug,18.1818
8_2,8,8_2_1,early,0,24,0,Sep,0
8_2,8,8_2_1,early,2,24,10,Aug,8.3333
8_2,8,8_2_1,early,0,24,0,Jul,0
8_2,8,8_2_2,early,0,22,0,Jul,0
8_2,8,8_2_2,early,3,22,9,Sep,13.6364
8_2,8,8_2_3,early,1,20,1,Aug,5
8_2,8,8_2_3,early,0,20,0,May,0
8_2,8,8_2_2,early,1,22,4,Jun,4.5455
8_2,8,8_2_3,early,0,20,0,Jul,0
8_2,8,8_2_1,early,1,24,4,May,4.1667
8_2,8,8_2_2,early,1,22,4,May,4.5455
8_2,8,8_2_1,early,3,24,49,Jun,12.5
8_2,8,8_2_3,early,2,20,18,Jun,10
8_2,8,8_2_3,early,3,20,32,Sep,15
8_3,8,8_3_1,early,0,23,0,Jul,0
8_3,8,8_3_1,early,1,23,1,Aug,4.3478
8_3,8,8_3_1,early,0,23,0,May,0
8_3,8,8_3_3,early,0,22,0,May,0
8_3,8,8_3_1,early,1,23,1,Jun,4.3478
8_3,8,8_3_2,early,1,25,1,Jun,4
8_3,8,8_3_3,early,0,22,0,Jun,0
8_3,8,8_3_2,early,0,25,0,May,0
8_3,8,8_3_1,early,2,23,2,Sep,8.6957
8_3,8,8_3_2,early,2,25,201,Sep,8
8_3,8,8_3_3,early,2,22,102,Sep,9.0909
8_3,8,8_3_2,early,0,25,0,Jul,0
8_3,8,8_3_2,early,2,25,400,Aug,8
8_3,8,8_3_3,early,3,22,904,Aug,13.6364
8_3,8,8_3_3,early,0,22,0,Jul,0
8_4,8,8_4_1,late,1,17,125,Sep,5.8824
8_4,8,8_4_1,late,3,17,650,Aug,17.6471
8_4,8,8_4_2,late,2,18,60,Sep,11.1111
8_4,8,8_4_3,late,4,20,61,Sep,20
8_4,8,8_4_1,late,3,17,800,Jul,17.6471
8_4,8,8_4_2,late,3,18,275,Aug,16.6667
8_4,8,8_4_3,late,2,20,34,Aug,10
8_4,8,8_4_3,late,0,20,0,May,0
8_4,8,8_4_1,late,5,17,14,Jun,29.4118
8_4,8,8_4_2,late,4,18,200,Jul,22.2222
8_4,8,8_4_1,late,0,17,0,May,0
8_4,8,8_4_2,late,1,18,1,Jun,5.5556
8_4,8,8_4_3,late,4,20,426,Jul,20
8_4,8,8_4_3,late,2,20,5,Jun,10
8_4,8,8_4_2,late,1,18,9,May,5.5556
9_1,9,9_1_1,late,0,18,0,Sep,0
9_1,9,9_1_2,late,0,15,0,Sep,0
9_1,9,9_1_1,late,1,18,4,Aug,5.5556
9_1,9,9_1_2,late,2,15,2,Aug,13.3333
9_1,9,9_1_3,late,2,14,13,Sep,14.2857
9_1,9,9_1_1,late,4,18,30,Jul,22.2222
9_1,9,9_1_2,late,2,15,26,Jul,13.3333
9_1,9,9_1_3,late,2,14,8,Aug,14.2857
9_1,9,9_1_1,late,1,18,9,Jun,5.5556
9_1,9,9_1_2,late,1,15,9,Jun,6.6667
9_1,9,9_1_3,late,2,14,26,Jul,14.2857
9_1,9,9_1_3,late,0,14,0,May,0
9_1,9,9_1_1,late,0,18,0,May,0
9_1,9,9_1_3,late,1,14,225,Jun,7.1429
9_1,9,9_1_2,late,0,15,0,May,0
9_2,9,9_2_2,early,0,18,0,Sep,0
9_2,9,9_2_1,early,1,16,2,Sep,6.25
9_2,9,9_2_2,early,2,18,2,Aug,11.1111
9_2,9,9_2_3,early,0,18,0,Sep,0
9_2,9,9_2_1,early,1,16,1,Aug,6.25
9_2,9,9_2_2,early,0,18,0,Jul,0
9_2,9,9_2_3,early,1,18,1,Aug,5.5556
9_2,9,9_2_3,early,0,18,0,May,0
9_2,9,9_2_1,early,0,16,0,Jul,0
9_2,9,9_2_2,early,0,18,0,Jun,0
9_2,9,9_2_3,early,0,18,0,Jul,0
9_2,9,9_2_1,early,0,16,0,Jun,0
9_2,9,9_2_1,early,0,16,0,May,0
9_2,9,9_2_3,early,2,18,26,Jun,11.1111
9_2,9,9_2_2,early,0,18,0,May,0
9_3,9,9_3_1,late,4,16,14,Aug,25
9_3,9,9_3_1,late,4,16,74,Jul,25
9_3,9,9_3_2,late,2,20,34,Jul,10
9_3,9,9_3_3_,late,3,19,58,Jul,15.7895
9_3,9,9_3_1,late,2,16,50,Jun,12.5
9_3,9,9_3_2,late,1,20,49,Jun,5
9_3,9,9_3_3,late,1,19,1,Jun,5.2632
9_3,9,9_3_3,late,0,19,0,May,0
9_3,9,9_3_1,late,0,16,0,Sep,0
9_3,9,9_3_1,late,1,16,1,May,6.25
9_3,9,9_3_2,late,0,20,0,May,0
9_3,9,9_3_2,late,0,20,0,Sep,0
9_3,9,9_3_3,late,2,19,10,Sep,10.5263
9_3,9,9_3_2,late,1,20,64,Aug,5
9_3,9,9_3_3,late,2,19,13,Aug,10.5263
9_4,9,9_4_1,early,2,16,4,Jun,12.5
9_4,9,9_4_1,early,0,16,0,May,0
9_4,9,9_4_3,early,0,16,0,Aug,0
9_4,9,9_4_2,early,1,14,1,Sep,7.1429
9_4,9,9_4_3,early,1,16,1,Sep,6.25
9_4,9,9_4_3,early,1,16,1,May,6.25
9_4,9,9_4_2,early,0,14,0,Aug,0
9_4,9,9_4_1,early,1,16,1,Sep,6.25
9_4,9,9_4_1,early,0,16,0,Jul,0
9_4,9,9_4_2,early,1,14,1,Jun,7.1429
9_4,9,9_4_2,early,0,14,0,Jul,0
9_4,9,9_4_3,early,0,16,0,Jul,0
9_4,9,9_4_3,early,1,16,1,Jun,6.25
9_4,9,9_4_2,early,0,14,0,May,0
9_4,9,9_4_1,early,1,16,1,Aug,6.25
